21,k10010980121000,2017-05-16,コンゴ民主共和国でエボラ出血熱　１人が亡くなる,「エボラ出血熱」はエボラウイルスというウイルスでうつって、亡くなる可能性がとても高い病気です。アフリカの中部にあるコンゴ民主共和国で、エボラ出血熱になった人が見つかりました。ＷＨＯなどによると、エボラ出血熱になった可能性がある人が４月２２日から９人見つかっていて、この中の３人が亡くなりました。３人の中の１人からエボラウイルスが見つかっています。アフリカでは西側にある３つの国で、２０１４年から２年ぐらいエボラ出血熱になる人がとても増えて、１万１０００人以上が亡くなりました。コンゴ民主共和国でも、２０１４年に４０人以上が亡くなりました。コンゴ民主共和国の政府などは、この病気が世界に広がらないようにしなければならないと言っています。,http://www3.nhk.or.jp/news/html/20170513/k10010980121000.html
22,k10010980631000,2017-05-16,長野県　山に登る外国人を案内する「通訳案内士」ができる,「通訳案内士」は、日本を旅行する外国人を外国語で案内する仕事をします。国の試験に合格した人がなりますが、決められた場所だけで仕事をする場合は試験を受けなくても仕事ができます。長野県では、県にある山だけで仕事をする通訳案内士が初めてできました。２か月の研修が終わって、全部で１０人が英語や中国語の通訳案内士になりました。長野県は、１年に２万６０００人以上の外国人が県にある山に来ると考えています。通訳案内士は、外国人と一緒に山に登って、山の歴史や自然などを説明します。長野県は、案内してほしいという人がたくさんいたら、通訳案内士をもっと増やすことも考えています。,http://www3.nhk.or.jp/news/html/20170514/k10010980631000.html
23,k10010981601000,2017-05-15,サイバー攻撃　世界中のコンピューターに大きな被害,先週の終わりから世界中で「サイバー攻撃」があって、コンピューターに被害があった病院や会社などは仕事ができなくなって困っています。このサイバー攻撃は、ほかのコンピューターにウイルスを入れてファイルを利用できなくして、また利用したいなら金を払えと言ってきます。ウイルスは「ウィンドウズ」というＯＳ（基本ソフト）の弱い部分から入ってきます。ヨーロッパの警察は１４日、サイバー攻撃の被害は１５０以上の国で２０万件あって、これからもっと増えるだろうと言いました。日本でも被害が出てきています。情報処理推進機構によると、今までもらったことがないようなメールは、役所からと書いてあってもうそのメールかもしれません。一緒に送ってきたファイルを開けてはいけません。そして、ウィンドウズを使っている人は弱い部分を直すプログラムを入れたほうがいいです。被害があったら、次のウェブサイトで相談できます。http://www.ipa.go.jp/security/anshin/,http://www3.nhk.or.jp/news/html/20170515/k10010981601000.html
24,k10010980371000,2017-05-15,寄生虫のアニサキスが原因の食中毒が増えている,アニサキスという寄生虫が原因で食中毒になる人が増えています。アニサキスは魚などの体にいる寄生虫です。長さは２ｃｍ〜３ｃｍで、糸のように見えます。サバやアジ、イカなどの体の中にいて、刺身やサバで作ったしめさばなどから見つかっています。アニサキスが人の体に入ると、胃や腸が傷ついて、しばらくの間、おなかがとても痛くなったり、吐いたりします。厚生労働省によると、アニサキスが原因で食中毒になった人は、今年は４月の終わりまでに３２人いました。２０１３年に調べ始めてから増えていて、去年は１２６人いました。しかし、国立感染症研究所は１年に７０００人以上いる可能性があると考えています。アニサキスがいる魚などは、７０℃以上で焼いたり煮たりするか、－２０℃以下で２４時間以上冷凍すると、食べても問題はありません。厚生労働省は、魚を売る店や食堂などに、魚などをしっかりチェックするように言っています。,http://www3.nhk.or.jp/news/html/20170513/k10010980371000.html
25,k10010981731000,2017-05-15,北海道釧路市　日本でいちばん遅く桜が咲いた,北海道の釧路地方気象台は、毎年、釧路市にある公園の「エゾヤマザクラ」という桜を調べて、花が咲くとみんなに知らせています。１４日、この桜に５つ以上の花が咲いていたため「釧路市で桜が咲きました」と発表しました。この日は少し寒くて４月の終わりごろの気温でした。公園に来た女性は「まだ寒いので桜が咲いたと聞いて驚きました。早くたくさん咲いてほしいです」と話していました。今年日本でいちばん早く桜が咲いたのは沖縄県那覇市で、１月１４日でした。そのあとほかの所でもだんだん咲いていって、４か月後、最後に釧路市で咲きました。,http://www3.nhk.or.jp/news/html/20170515/k10010981731000.html
26,k10010978551000,2017-05-15,病院などで毛を抜くときはやけどなどの危険がある,国民生活センターによると、病院やエステティックサロンなどで腕や足などの毛を抜いて、やけどなどをしたという相談が、５年で９６４件ありました。この中には、やけどなどを治すために１か月以上かかった人や、毛を抜いたところの肌の色が変わった人もいました。相談をした人の多くは、毛を抜くときにやけどなどをする危険があることを病院などから聞いていませんでした。エステティックサロンがやってはいけない方法で毛を抜いたため、やけどなどをした人もいました。国民生活センターは病院などに、毛を抜くときはやけどなどをする危険があることを客によく説明するように言っています。客も危険があることを理解して利用してほしいと言っています。,http://www3.nhk.or.jp/news/html/20170512/k10010978551000.html
27,k10010977341000,2017-05-15,マイクロソフト　話したことをすぐに翻訳するサービス,アメリカの会社のマイクロソフトは、コンピューターが自分で考える「人工知能」という技術を使った新しいサービスを作りました。会社が開いたイベントで発表しました。このサービスを利用すると、話したことをすぐに日本語など６０以上のことばに翻訳することができます。会議でみんなに話をするときなどに便利です。イベントでは、マイクロソフトの人がスペイン語で話すと、すぐに会場の大きな画面に英語の翻訳が出ました。新しいサービスは、インターネットを使って自分のコンピューターやスマートフォンで利用することができます。,http://www3.nhk.or.jp/news/html/20170511/k10010977341000.html
28,k10010977661000,2017-05-12,自動車などの新しい模型を紹介する「静岡ホビーショー」,模型を作っている会社が新しい商品を紹介する「静岡ホビーショー」が１１日から静岡市で始まりました。日本の７８の会社が、自動車や電車などの模型を紹介しています。静岡県の会社は、モーターで走る自動車の模型を今までより軽くして、もっと速く走るようにしました。会社は、昔この模型で遊んだ人たちが今お父さんになって、また人気が出ていると言っています。会場にはほかに、有名な彫刻家の作品や盆栽の模型などもあります。来た人たちは、模型を近くで見て細かい所をチェックしていました。「静岡ホビーショー」は１４日までです。,http://www3.nhk.or.jp/news/html/20170511/k10010977661000.html
29,k10010978261000,2017-05-12,「パラリンピックのためにホテルを使いやすくしてほしい」,２０２０年に東京でパラリンピックがあります。国際パラリンピック委員会の責任者のハビエル・ゴンザレスさんは、パラリンピックの準備について話し合うために日本に来ました。１１日、ゴンザレスさんは話し合いのあと、記者たちに「日本では多くの人がパラリンピックに興味を持っています。しかし、体に障害のある人が使いやすいホテルはたくさんありません。車いすに乗っている人などが使いやすい部屋を安く、簡単に予約できるようにしてほしいです」と話しました。,http://www3.nhk.or.jp/news/html/20170511/k10010978261000.html
30,k10010978641000,2017-05-12,アメリカ　長官に何度も質問した記者を逮捕する,９日、アメリカのウェストバージニア州に来たプライス厚生長官に、男性の記者が医療保険について質問しました。しかし、長官は質問に答えませんでした。このため記者が長官に何度も質問していると、警察が記者を逮捕しました。記者は８時間あとに日本のお金で約５７万円を払って、自由になりました。警察は、記者が大きな声で騒いだため逮捕したと言っています。しかし記者は「質問に答えてもらおうとしていただけです」と話しています。人権を守る活動をしているアメリカ自由人権協会は、この逮捕はトランプ大統領が新聞やテレビを攻撃していることと関係があると思うと言っています。,http://www3.nhk.or.jp/news/html/20170512/k10010978641000.html
